lon,lat,vs30,z1pt0,z2pt5,vs30measured
-76.94,-12.02,325.61535,381.7531136,0.5145,0
-76.93,-12.02,351.12754,344.7915038,0.5145,0
-76.92,-12.02,396.29659,292.8240275,0.5145,0
-76.91,-12.02,374.58581,315.9656552,0.5145,0
-76.9,-12.02,359.03096,334.5847149,0.5145,0
-76.89,-12.02,329.96032,374.9823665,0.5145,0
-76.88,-12.02,361.5631,331.4252752,0.5145,0
-76.87,-12.02,760,33.72291916,0.5145,0
-76.86,-12.02,760,33.72291916,0.5145,0
-76.85,-12.02,627.28021,79.67868325,0.5145,0
-76.84,-12.02,600.19774,97.09823618,0.5145,0
-76.83,-12.02,760,33.72291916,0.5145,0
-76.82,-12.02,555.03898,137.8481191,0.5145,0
-76.81,-12.02,760,33.72291916,0.5145,0
-76.8,-12.02,760,33.72291916,0.5145,0
-76.79,-12.02,760,33.72291916,0.5145,0
-76.99,-12.03,368.87647,322.5855247,0.5145,0
-76.98,-12.03,343.55389,355.092163,0.5145,0
-76.97,-12.03,326.84238,379.8195987,0.5145,0
-76.96,-12.03,357.5222,336.4922711,0.5145,0
-76.95,-12.03,385.49458,303.9551382,0.5145,0
-76.94,-12.03,328.24907,377.6238637,0.5145,0
-76.93,-12.03,347.0415,350.2831579,0.5145,0
-76.92,-12.03,491.12952,219.1893809,0.5145,0
-76.91,-12.03,376.09071,314.2600277,0.5145,0
-76.9,-12.03,545.94232,148.4405537,0.5145,0
-76.89,-12.03,533.89436,164.0477064,0.5145,0
-76.88,-12.03,603.21671,94.94003462,0.5145,0
-76.87,-12.03,760,33.72291916,0.5145,0
-76.86,-12.03,760,33.72291916,0.5145,0
-76.85,-12.03,760,33.72291916,0.5145,0
-76.84,-12.03,760,33.72291916,0.5145,0
-76.83,-12.03,760,33.72291916,0.5145,0
-76.82,-12.03,760,33.72291916,0.5145,0
-76.81,-12.03,760,33.72291916,0.5145,0
-76.8,-12.03,702.3835,48.00839501,0.5145,0
-76.79,-12.03,760,33.72291916,0.5145,0
-76.99,-12.04,745.66553,36.7259157,0.5145,0
-76.98,-12.04,346.50064,351.0214912,0.5145,0
-76.97,-12.04,331.07135,373.2845393,0.5145,0
-76.96,-12.04,340.98904,358.7026582,0.5145,0
-76.95,-12.04,376.82012,313.4390841,0.5145,0
-76.94,-12.04,341.18756,358.4209268,0.5145,0
-76.93,-12.04,422.11273,268.9092585,0.5145,0
-76.92,-12.04,502.3219,215.561,0.5145,0
-76.91,-12.04,551.95254,141.33518,0.5145,0
-76.9,-12.04,622.87598,82.23391389,0.5145,0
-76.89,-12.04,523.53679,179.096283,0.5145,0
-76.88,-12.04,585.54674,108.4661519,0.5145,0
-76.87,-12.04,760,33.72291916,0.5145,0
-76.86,-12.04,760,33.72291916,0.5145,0
-76.85,-12.04,748.61173,36.0828109,0.5145,0
-76.84,-12.04,760,33.72291916,0.5145,0
-76.83,-12.04,760,33.72291916,0.5145,0
-76.82,-12.04,760,33.72291916,0.5145,0
-76.81,-12.04,760,33.72291916,0.5145,0
-76.8,-12.04,760,33.72291916,0.5145,0
-76.79,-12.04,760,33.72291916,0.5145,0
-76.99,-12.05,760,33.72291916,0.5145,0
-76.98,-12.05,470.88824,232.0037861,0.5145,0
-76.97,-12.05,356.59557,337.673235,0.5145,0
-76.96,-12.05,360.43765,332.8230993,0.5145,0
-76.95,-12.05,348.89219,347.7770968,0.5145,0
-76.94,-12.05,496.99834,215.7024092,0.5145,0
-76.93,-12.05,727.4838,41.02055683,0.5145,0
-76.92,-12.05,760,33.72291916,0.5145,0
-76.91,-12.05,760,33.72291916,0.5145,0
-76.9,-12.05,760,33.72291916,0.5145,0
-76.89,-12.05,760,33.72291916,0.5145,0
-76.88,-12.05,760,33.72291916,0.5145,0
-76.87,-12.05,760,33.72291916,0.5145,0
-76.86,-12.05,538.07595,158.4129973,0.5145,0
-76.85,-12.05,587.50186,106.8583916,0.5145,0
-76.84,-12.05,760,33.72291916,0.5145,0
-76.83,-12.05,760,33.72291916,0.5145,0
-76.82,-12.05,760,33.72291916,0.5145,0
-76.81,-12.05,760,33.72291916,0.5145,0
-76.8,-12.05,684.14944,54.01242586,0.5145,0
-76.79,-12.05,760,33.72291916,0.5145,0
-76.99,-12.06,760,33.72291916,0.5145,0
-76.98,-12.06,381.51146,308.2470426,0.5145,0
-76.97,-12.06,348.89384,347.7748765,0.5145,0
-76.96,-12.06,352.48443,343.0008893,0.5145,0
-76.95,-12.06,342.54851,356.4998493,0.5145,0
-76.94,-12.06,760,33.72291916,0.5145,0
-76.93,-12.06,760,33.72291916,0.5145,0
-76.92,-12.06,578.64215,114.3860229,0.5145,0
-76.91,-12.06,421.41001,269.5147997,0.5145,0
-76.9,-12.06,504.15469,212.0724133,0.5145,0
-76.89,-12.06,760,33.72291916,0.5145,0
-76.88,-12.06,646.11098,69.79015301,0.5145,0
-76.87,-12.06,538.09553,158.3871751,0.5145,0
-76.86,-12.06,707.57386,46.45072309,0.5145,0
-76.85,-12.06,723.11619,42.14226108,0.5145,0
-76.84,-12.06,734.4403,39.30836118,0.5145,0
-76.83,-12.06,760,33.72291916,0.5145,0
-76.82,-12.06,651.55692,67.21457773,0.5145,0
-76.81,-12.06,760,33.72291916,0.5145,0
-76.8,-12.06,760,33.72291916,0.5145,0
-76.79,-12.06,760,33.72291916,0.5145,0
-76.99,-12.07,368.40838,323.1389704,0.5145,0
-76.98,-12.07,336.88648,364.6123094,0.5145,0
-76.97,-12.07,352.60882,342.8375485,0.5145,0
