lon,lat
-76.95,-12.2
-76.94,-12.2
-76.93,-12.2
-76.92,-12.2
-76.91,-12.2
-76.9,-12.2
-76.89,-12.2
-76.96,-12.21
-76.95,-12.21
-76.94,-12.21
-76.93,-12.21
-76.92,-12.21
-76.91,-12.21
-76.9,-12.21
-76.89,-12.21
-76.96,-12.22
-76.95,-12.22
-76.94,-12.22
-76.93,-12.22
-76.92,-12.22
-76.91,-12.22
-76.9,-12.22
-76.89,-12.22
-76.96,-12.23
-76.95,-12.23
-76.94,-12.23
-76.93,-12.23
-76.92,-12.23
-76.91,-12.23
-76.9,-12.23
-76.89,-12.23
-77.06,-12.09
-77.05,-12.09
-77.04,-12.09
-77.03,-12.09
-77.02,-12.09
-77.01,-12.09
-77.06,-12.1
-77.05,-12.1
-77.04,-12.1
-77.03,-12.1
-77.02,-12.1
-77.01,-12.1
-77.16,-12.07
-76.78,-12.06
-76.77,-12.06
-76.76,-12.06
-76.75,-12.06
-76.74,-12.06
-76.73,-12.06
-76.72,-12.06
-76.71,-12.06
-76.7,-12.06
-76.69,-12.06
-76.68,-12.06
-76.78,-12.07
-76.77,-12.07
-76.76,-12.07
-76.75,-12.07
-76.74,-12.07
-76.73,-12.07
-76.72,-12.07
-76.71,-12.07
-76.7,-12.07
-76.69,-12.07
-76.68,-12.07
-76.78,-12.08
-76.77,-12.08
-76.76,-12.08
-76.75,-12.08
-76.74,-12.08
-76.73,-12.08
-76.72,-12.08
-76.71,-12.08
-76.7,-12.08
-76.69,-12.08
-76.68,-12.08
-76.91,-12.09
-76.9,-12.09
-76.89,-12.09
-76.88,-12.09
-76.87,-12.09
-76.86,-12.09
-76.85,-12.09
-76.84,-12.09
-76.83,-12.09
-76.82,-12.09
-76.81,-12.09
-76.8,-12.09
-76.79,-12.09
-76.78,-12.09
-76.77,-12.09
-76.76,-12.09
-76.75,-12.09
-76.74,-12.09
-76.73,-12.09
-76.72,-12.09
-76.71,-12.09
-76.91,-12.1
-76.9,-12.1
-76.89,-12.1
-76.88,-12.1
-76.87,-12.1
-76.86,-12.1
-76.85,-12.1
-76.84,-12.1
-76.83,-12.1
-76.82,-12.1
-76.81,-12.1
-76.8,-12.1
-76.79,-12.1
-76.78,-12.1
-76.77,-12.1
-76.76,-12.1
-76.75,-12.1
-76.74,-12.1
-76.73,-12.1
-76.72,-12.1
-76.91,-12.11
-76.9,-12.11
-76.89,-12.11
-76.88,-12.11
-76.87,-12.11
-76.86,-12.11
-76.85,-12.11
-76.84,-12.11
-76.83,-12.11
-76.82,-12.11
-76.81,-12.11
-76.8,-12.11
-76.79,-12.11
-76.78,-12.11
-76.77,-12.11
-76.76,-12.11
-76.75,-12.11
-76.74,-12.11
-76.73,-12.11
-76.72,-12.11
-76.88,-12.12
-76.87,-12.12
-76.86,-12.12
-76.85,-12.12
-76.84,-12.12
-76.83,-12.12
-76.82,-12.12
-76.81,-12.12
-76.8,-12.12
-76.79,-12.12
-76.78,-12.12
-76.77,-12.12
-76.76,-12.12
-76.75,-12.12
-76.74,-12.12
-76.73,-12.12
-76.72,-12.12
-76.71,-12.12
-76.7,-12.12
-76.88,-12.13
-76.87,-12.13
-76.86,-12.13
-76.85,-12.13
-76.84,-12.13
-76.83,-12.13
-76.82,-12.13
-76.81,-12.13
-76.8,-12.13
-76.79,-12.13
-76.78,-12.13
-76.77,-12.13
-76.76,-12.13
-76.75,-12.13
-76.74,-12.13
-76.73,-12.13
-76.72,-12.13
-76.71,-12.13
-76.7,-12.13
-76.69,-12.13
-76.88,-12.14
-76.87,-12.14
-76.86,-12.14
-76.85,-12.14
-76.84,-12.14
-76.83,-12.14
-76.82,-12.14
-76.81,-12.14
-76.8,-12.14
-76.79,-12.14
-76.78,-12.14
-76.77,-12.14
-76.76,-12.14
-76.75,-12.14
-76.74,-12.14
-76.73,-12.14
-76.72,-12.14
-76.71,-12.14
-76.7,-12.14
-76.88,-12.15
-76.87,-12.15
-76.86,-12.15
-76.85,-12.15
-76.84,-12.15
-76.83,-12.15
-76.82,-12.15
-76.81,-12.15
-76.8,-12.15
-76.79,-12.15
-76.78,-12.15
-76.77,-12.15
-76.76,-12.15
-76.75,-12.15
-76.74,-12.15
-76.73,-12.15
-76.72,-12.15
-76.71,-12.15
-76.7,-12.15
-76.69,-12.15
-76.88,-12.16
-76.87,-12.16
-76.86,-12.16
-76.85,-12.16
-76.84,-12.16
-76.83,-12.16
-76.82,-12.16
-76.81,-12.16
-76.8,-12.16
-76.79,-12.16
-76.78,-12.16
-76.77,-12.16
-76.76,-12.16
-76.75,-12.16
-76.74,-12.16
-76.73,-12.16
-76.72,-12.16
-76.71,-12.16
-76.7,-12.16
-76.69,-12.16
-76.88,-12.17
-76.87,-12.17
-76.86,-12.17
-76.85,-12.17
-76.84,-12.17
-76.83,-12.17
-76.82,-12.17
-76.81,-12.17
-76.8,-12.17
-76.79,-12.17
-76.78,-12.17
-76.77,-12.17
-76.76,-12.17
-76.75,-12.17
-76.74,-12.17
-76.73,-12.17
-76.72,-12.17
-76.71,-12.17
-76.7,-12.17
-76.69,-12.17
-76.68,-12.17
-76.88,-12.18
-76.87,-12.18
-76.86,-12.18
-76.85,-12.18
-76.84,-12.18
-76.83,-12.18
-76.82,-12.18
-76.81,-12.18
-76.8,-12.18
-76.79,-12.18
-76.78,-12.18
-76.77,-12.18
-76.76,-12.18
-76.75,-12.18
-76.74,-12.18
-76.73,-12.18
-76.72,-12.18
-76.71,-12.18
-76.7,-12.18
-76.69,-12.18
-76.68,-12.18
-76.67,-12.18
-76.88,-12.19
-76.87,-12.19
-76.86,-12.19
-76.85,-12.19
-76.84,-12.19
-76.83,-12.19
-76.82,-12.19
-76.81,-12.19
-76.8,-12.19
-76.79,-12.19
-76.78,-12.19
-76.77,-12.19
-76.76,-12.19
-76.75,-12.19
-76.74,-12.19
-76.73,-12.19
-76.72,-12.19
-76.71,-12.19
-76.7,-12.19
-76.69,-12.19
-76.68,-12.19
-76.67,-12.19
-76.88,-12.2
-76.87,-12.2
-76.86,-12.2
-76.85,-12.2
-76.84,-12.2
-76.83,-12.2
-76.82,-12.2
-76.81,-12.2
-76.8,-12.2
-76.79,-12.2
-76.78,-12.2
-76.77,-12.2
-76.76,-12.2
-76.75,-12.2
-76.74,-12.2
-76.73,-12.2
-76.72,-12.2
-76.71,-12.2
-76.7,-12.2
-76.69,-12.2
-76.68,-12.2
-76.67,-12.2
-76.88,-12.21
-76.87,-12.21
-76.86,-12.21
-76.85,-12.21
-76.84,-12.21
-76.83,-12.21
-76.82,-12.21
-76.81,-12.21
-76.8,-12.21
-76.79,-12.21
-76.78,-12.21
-76.77,-12.21
-76.76,-12.21
-76.75,-12.21
-76.74,-12.21
-76.73,-12.21
-76.72,-12.21
-76.71,-12.21
-76.7,-12.21
-76.69,-12.21
-76.68,-12.21
-76.67,-12.21
-76.88,-12.22
-76.87,-12.22
-76.86,-12.22
-76.85,-12.22
-76.84,-12.22
-76.83,-12.22
-76.82,-12.22
-76.81,-12.22
-76.8,-12.22
-76.79,-12.22
-76.78,-12.22
-76.77,-12.22
-76.76,-12.22
-76.75,-12.22
-76.74,-12.22
-76.73,-12.22
-76.72,-12.22
-76.71,-12.22
-76.7,-12.22
-76.69,-12.22
-76.68,-12.22
-76.67,-12.22
-76.88,-12.23
-76.87,-12.23
-76.86,-12.23
-76.85,-12.23
-76.84,-12.23
-76.83,-12.23
-76.82,-12.23
-76.81,-12.23
-76.8,-12.23
-76.79,-12.23
-76.78,-12.23
-76.77,-12.23
-76.76,-12.23
-76.75,-12.23
-76.74,-12.23
-76.73,-12.23
-76.72,-12.23
-76.71,-12.23
-76.7,-12.23
-76.69,-12.23
-76.68,-12.23
-76.67,-12.23
-77.06,-11.96
-77.05,-11.96
-77.04,-11.96
-77.03,-11.96
-77.06,-11.97
-77.05,-11.97
-77.04,-11.97
-77.03,-11.97
-77.06,-11.98
-77.05,-11.98
-77.04,-11.98
-77.03,-11.98
-77.06,-11.99
-77.05,-11.99
-77.04,-11.99
-77.03,-11.99
-77.06,-12
-77.05,-12
-77.04,-12
-77.03,-12
-77.06,-12.01
-77.05,-12.01
-77.04,-12.01
-77.03,-12.01
-77.07,-12.09
-77.07,-12.1
-77.01,-12.07
-77,-12.07
-77.01,-12.08
-77,-12.08
-77,-12.09
-76.99,-12.09
-76.98,-12.09
-77,-12.1
-76.99,-12.1
-76.98,-12.1
-77,-12.11
-76.99,-12.11
-76.98,-12.11
-76.78,-12.34
-76.77,-12.34
-76.76,-12.34
-76.75,-12.34
-76.74,-12.34
-76.73,-12.34
-76.72,-12.34
-76.71,-12.34
-76.7,-12.34
-76.69,-12.34
-76.68,-12.34
-76.78,-12.35
-76.77,-12.35
-76.76,-12.35
-76.75,-12.35
-76.74,-12.35
-76.73,-12.35
-76.72,-12.35
-76.71,-12.35
-76.7,-12.35
-76.69,-12.35
-76.78,-12.36
-76.77,-12.36
-76.76,-12.36
-76.75,-12.36
-76.74,-12.36
-76.73,-12.36
-76.72,-12.36
-76.71,-12.36
-76.7,-12.36
-76.69,-12.36
-76.68,-12.36
-76.78,-12.37
-76.77,-12.37
-76.76,-12.37
-76.75,-12.37
-76.74,-12.37
-76.73,-12.37
-76.72,-12.37
-76.71,-12.37
-76.7,-12.37
-76.69,-12.37
-76.68,-12.37
-76.78,-12.38
-76.77,-12.38
-76.76,-12.38
-76.75,-12.38
-76.74,-12.38
-76.73,-12.38
-76.72,-12.38
-76.71,-12.38
-76.7,-12.38
-76.78,-12.39
-76.77,-12.39
-76.76,-12.39
-76.75,-12.39
-76.74,-12.39
-76.73,-12.39
-76.72,-12.39
-76.77,-12.4
-76.76,-12.4
-77.13,-11.85
-77.12,-11.85
-77.13,-11.86
-77.12,-11.86
-77.04,-12.08
-77.03,-12.08
-77.12,-11.81
-77.11,-11.81
-77.1,-11.81
-77.09,-11.81
-77.08,-11.81
-77.07,-11.81
-77.06,-11.81
-77.12,-11.82
-77.11,-11.82
-77.1,-11.82
-77.09,-11.82
-77.08,-11.82
-77.07,-11.82
-77.06,-11.82
-77.12,-11.83
-77.11,-11.83
-77.1,-11.83
-77.09,-11.83
-77.08,-11.83
-77.07,-11.83
-77.06,-11.83
-77.12,-11.84
-77.11,-11.84
-77.1,-11.84
-77.09,-11.84
-77.08,-11.84
-77.07,-11.84
-77.06,-11.84
-77.11,-11.85
-77.1,-11.85
-77.09,-11.85
-77.08,-11.85
-77.07,-11.85
-77.06,-11.85
-77.11,-11.86
-77.1,-11.86
-77.09,-11.86
-77.08,-11.86
-77.07,-11.86
-77.06,-11.86
-77.12,-11.87
-77.11,-11.87
-77.1,-11.87
-77.09,-11.87
-77.08,-11.87
-77.07,-11.87
-77.06,-11.87
-77.12,-11.88
-77.11,-11.88
-77.1,-11.88
-77.09,-11.88
-77.08,-11.88
-77.07,-11.88
-77.06,-11.88
-77.12,-11.89
-77.11,-11.89
-77.1,-11.89
-77.09,-11.89
-77.08,-11.89
-77.07,-11.89
-77.06,-11.89
-77.12,-11.9
-77.11,-11.9
-77.1,-11.9
-77.09,-11.9
-77.08,-11.9
-77.07,-11.9
-77.06,-11.9
-77.12,-11.91
-77.11,-11.91
-77.1,-11.91
-77.09,-11.91
-77.08,-11.91
-77.07,-11.91
-77.06,-11.91
-77.12,-11.92
-77.11,-11.92
-77.1,-11.92
-77.09,-11.92
-77.08,-11.92
-77.07,-11.92
-77.06,-11.92
-77.12,-11.93
-77.11,-11.93
-77.1,-11.93
-77.09,-11.93
-77.08,-11.93
-77.07,-11.93
-77.06,-11.93
-77.12,-11.94
-77.11,-11.94
-77.1,-11.94
-77.09,-11.94
-77.08,-11.94
-77.07,-11.94
-77.06,-11.94
-77.18,-11.82
-77.17,-11.82
-77.16,-11.82
-77.15,-11.82
-77.14,-11.82
-77.13,-11.82
-77.18,-11.83
-77.17,-11.83
-77.16,-11.83
-77.15,-11.83
-77.14,-11.83
-77.13,-11.83
-77.18,-11.84
-77.17,-11.84
-77.16,-11.84
-77.15,-11.84
