site_id,lon,lat,PGV_POE_1.0_yr,PGV_POE_10.0_yr,PGV_POE_50.0_yr,PGV_POE_100.0_yr,PGV_POE_500.0_yr
639,-76.75,-12.2,0.006068932314674398,1.6317527868623962,5.99105408616302,8.805580955725993,17.968505688953556
640,-76.74,-12.2,0.006642028453748321,1.656188336368996,6.246663449784589,9.077272319631682,18.67287542464693
641,-76.73,-12.2,0.008504188461191586,1.6639463847734641,6.211261751055313,9.001726160636027,18.378812236613033
642,-76.72,-12.2,0.00689949408721749,1.645740475464908,6.054701007427578,8.712302169433226,18.11638699366968
643,-76.71,-12.2,0.009828528731459384,1.6084986648382409,6.203200041915043,9.02889297866025,18.335231751308932
644,-76.7,-12.2,0.0062893720480967944,1.6197776455518096,6.1139501892056805,8.923070223264862,18.394937329406066
645,-76.69,-12.2,0.006566604031693011,1.786747965785209,6.592801198229776,9.527053463781124,18.841047605033875
646,-76.68,-12.2,0.006829254185816714,1.629128374672982,6.154198682641109,9.054216638982448,18.43566754932295
647,-76.67,-12.2,0.007227568837139246,1.6602724632834351,6.298361500982349,9.027894916570217,18.78940940305844
648,-76.88,-12.21,0.006354444864218199,1.6054304391177754,6.256335847094641,9.057776650772402,18.265806197154504
649,-76.87,-12.21,0.007588951582838501,1.7358524242459943,6.822458496480907,9.777824813397286,19.162820322639305
650,-76.86,-12.21,0.007580299621156408,2.2807834967669955,8.730425369223347,12.516025562189531,25.164429738700267
651,-76.85,-12.21,0.008292247989536693,1.812543170265118,7.1178465627757115,10.465452344659221,20.663780300268687
652,-76.84,-12.21,0.007951987638701556,1.819687142494355,7.0750912724712185,10.441174834338062,20.484225055144446
653,-76.83,-12.21,0.006671693079441788,1.5966956827947845,6.165017917374425,9.061622513363467,18.002193756141477
654,-76.82,-12.21,0.007588897233619582,1.6034032943799104,6.105449238757091,9.45096730463354,17.018826078130633
655,-76.81,-12.21,0.007935554256284862,1.96869217181471,7.354538799973,10.505956683474217,22.022486431380102
656,-76.8,-12.21,0.00836463245982985,1.6992147350095272,6.267660894448687,9.318684245014845,17.77325919166485
657,-76.79,-12.21,0.007055134102484619,1.6262806556633589,6.127280319623433,9.148875373469311,18.327093084048578
658,-76.78,-12.21,0.009560606015530056,1.6124600414574037,6.367193272808785,9.159272584635945,19.08700063691091
659,-76.77,-12.21,0.006895743534892299,1.622569803146219,6.218185198091132,9.155850945201426,18.58601462520242
660,-76.76,-12.21,0.007150865307313408,1.6655624580696071,6.090303462410144,8.789853005776617,18.03625417096491
661,-76.75,-12.21,0.009149878890585684,1.6475420702180128,6.25090726257845,8.84247916389655,18.09621509709438
662,-76.74,-12.21,0.006670354089187278,1.6404091289702922,6.201304208574781,9.00313454190155,17.7863526965076
663,-76.73,-12.21,0.007646739207519335,1.6214383518366613,6.322726907919742,9.159973648146117,19.35481121279173
664,-76.72,-12.21,0.007432620576502875,1.6462839893588277,6.1628400308776445,8.803659819303581,18.415102413497756
665,-76.71,-12.21,0.008803549074040773,1.8761372353190702,7.097720699472642,10.183776459242843,20.758283231438675
666,-76.7,-12.21,0.007945772138951113,1.6271356134974846,6.142759087739997,8.923997944141965,17.495744483231064
667,-76.69,-12.21,0.00660896193628523,1.8048336448448574,6.933389716361464,10.189048042664407,20.706040585778005
668,-76.68,-12.21,0.007009520852536274,1.6401479162410688,6.042908457444409,8.882370783470002,18.16835861973138
669,-76.67,-12.21,0.007837814239467443,1.9486573077522178,7.237592025825228,10.573929895014071,21.546649651452817
670,-76.88,-12.22,0.007315439269637738,1.7369754899474539,6.675733317445481,9.68489766656104,19.19428957017494
671,-76.87,-12.22,0.009532439336628755,2.213796472997946,8.325479977914606,12.24009394661849,24.534721641859726
672,-76.86,-12.22,0.008208414207658173,2.2283458999867984,8.417849226721058,12.104079705620471,27.165801768624558
673,-76.85,-12.22,0.007965521205773726,1.9300368540970199,7.383840995224438,10.83954704962016,20.272399615391517
674,-76.84,-12.22,0.007608919780451228,1.7971847238550922,6.772941613174414,9.894185646964214,19.86498090006643
675,-76.83,-12.22,0.007151234888989101,1.7409445330908728,6.61285185777115,9.445289100448026,20.044604405816504
676,-76.82,-12.22,0.007147746185554038,1.7062806391593763,6.35172542738161,9.292650618318733,19.244159128523535
677,-76.81,-12.22,0.006650683960331347,1.6205931264763282,6.064332438311405,8.650889327784117,17.574221659723833
678,-76.8,-12.22,0.008685270095213887,1.8161256849876144,6.969310557346405,10.484494289564967,19.69845139221921
679,-76.79,-12.22,0.008806355823899957,1.6309832766841763,6.079741174118816,8.993499407708967,19.063889278726194
680,-76.78,-12.22,0.010220980628149908,1.8576400505315278,6.928348093589831,10.101507415944315,20.61155474876959
681,-76.77,-12.22,0.012160042467857006,1.8283033734825063,6.78568633410888,10.166139065810222,21.99155077110376
682,-76.76,-12.22,0.0075071961201079096,1.704843258347031,6.711077415823679,9.961556311705923,20.54804384851421
683,-76.75,-12.22,0.006763442536836114,1.760613417995465,6.550344525560409,9.66186010650443,19.44229737959682
684,-76.74,-12.22,0.007284922670901356,1.7327170515243644,6.492498775010956,9.306051653183783,18.790092139694956
685,-76.73,-12.22,0.009802026639906102,1.644766491814438,6.090832026410892,8.93821983488342,18.71962099118209
686,-76.72,-12.22,0.014056816687725343,2.111855655262285,7.885452421213524,11.366485585556669,24.293150571406596
687,-76.71,-12.22,0.007155212433063482,1.6734838773980172,6.106694516992399,9.096351347211572,19.016366054614206
688,-76.7,-12.22,0.007493109159595867,1.6426192917405742,6.2658430891217085,9.110395783784286,17.933591370437547
689,-76.69,-12.22,0.007164451945756451,1.6525467968291763,6.009821445034913,8.790057311626025,18.338971135726123
690,-76.68,-12.22,0.010111891764405767,1.6869045457847367,6.331320497331876,9.244032995517692,18.396018193963286
691,-76.67,-12.22,0.007307925391801043,1.6282602836081652,6.175102511277197,8.629715054780707,17.393031631934225
692,-76.88,-12.23,0.010488308936880946,2.1381307371365414,8.159168516639445,11.802825904238937,23.982503737393394
693,-76.87,-12.23,0.008102359283824431,2.2608474365329045,8.44374839764925,12.261427798009302,27.00107158474111
694,-76.86,-12.23,0.0077542112765264844,2.2432709024206225,8.627042483121613,12.463351390675154,25.24250679661707
695,-76.85,-12.23,0.007218674859201646,1.8593656594961685,7.356102982448437,10.928408764565546,22.1220052801303
