site_id,lon,lat,PGD_POE_1.0_yr,PGD_POE_10.0_yr,PGD_POE_50.0_yr,PGD_POE_100.0_yr,PGD_POE_500.0_yr
0.0,-77.09,-12.04,1.0000000000000004e-06,47.529720621418434,156.67679082739951,187.84219220280465,281.5175130599235
1.0,-77.05,-12.11,1.0000000000000004e-06,8.178620704555142,77.62667114902007,122.2654555989489,195.74890424734966
2.0,-77.04,-12.11,1.0000000000000004e-06,1.3007600654661835,40.04010507326422,79.08716200321572,168.94321467434798
3.0,-77.03,-12.11,1.0000000000000004e-06,37.4077910191718,143.31426711138022,177.6374128873022,270.5823324668386
4.0,-77.02,-12.11,1.0000000000000004e-06,35.07734458283379,141.48856928080997,174.2755014615523,251.82672079833296
5.0,-77.01,-12.11,1.0000000000000004e-06,33.20802837109184,134.86007621085778,169.25950680971332,248.67882741533313
6.0,-77.04,-12.12,1.0000000000000004e-06,4.60173694946807,58.45632300029066,109.66837689993825,191.1222413534965
7.0,-77.03,-12.12,1.0000000000000004e-06,46.07159897272021,157.77384019107583,190.36427924437402,284.5243850884823
8.0,-77.02,-12.12,1.0000000000000004e-06,35.93575922911245,141.21040755785057,175.54015605065513,259.35069891797036
9.0,-77.01,-12.12,1.0000000000000004e-06,37.09016592816479,144.0118288585871,177.14117582107997,260.8472985264354
10.0,-77.03,-12.13,1.0000000000000004e-06,1.873774590469874,41.577606068411434,79.65619037047684,168.74793655548453
11.0,-77.02,-12.13,1.0000000000000004e-06,37.55780552403861,142.77783395859646,177.00041311528452,268.86739406950096
12.0,-77.01,-12.13,1.0000000000000004e-06,41.32215231380855,149.5692876091663,181.861167898398,277.321394297366
13.0,-77.02,-12.16,1.0000000000000004e-06,30.79291514672082,129.15139674201953,167.31491454079566,253.22300269682248
14.0,-77.01,-12.16,1.0000000000000004e-06,54.73385118168773,163.91090031503916,196.32560423868372,287.596026419389
15.0,-77.0,-12.16,1.0000000000000004e-06,48.798285124526465,158.71212112329957,189.7707203003685,270.3389023874069
16.0,-76.99,-12.16,1.0000000000000004e-06,38.19136764949005,144.6445272443324,178.42891042010066,257.2494717159643
17.0,-76.98,-12.16,1.0000000000000004e-06,21.88823389937696,118.6428312262593,154.38367499467478,236.36398539740014
18.0,-77.03,-12.17,1.0000000000000004e-06,6.073297973955772,65.81542140521067,116.33786610428234,179.77548643246584
19.0,-77.02,-12.17,1.0000000000000004e-06,46.782637951869965,155.8165737321266,187.1428389082138,273.3376915067432
20.0,-77.01,-12.17,1.0000000000000004e-06,71.7836345874981,174.63175249770467,208.00941186197159,291.8809530862521
21.0,-77.0,-12.17,1.0000000000000004e-06,57.06767231801063,163.92192220456934,195.35799487973756,285.7975491263854
22.0,-76.99,-12.17,1.0000000000000004e-06,36.90723628593257,144.71172513438435,178.81707603686698,272.0502884976399
23.0,-76.98,-12.17,1.0000000000000004e-06,27.7027227316555,125.16986985792958,161.7841802322789,245.57422291235397
24.0,-77.03,-12.18,1.0000000000000004e-06,2.4503226983717687,46.23879727135005,87.14751784823216,170.5373027431719
25.0,-77.02,-12.18,1.0000000000000004e-06,95.59379380399669,186.75073595413588,226.58566738424878,312.80135780519214
26.0,-77.01,-12.18,1.0000000000000004e-06,85.61333618784154,181.47302766720534,220.1959278125686,307.0454686124123
27.0,-77.0,-12.18,1.0000000000000004e-06,39.686297875569046,148.76074409399834,180.3312135244399,271.0369096531227
28.0,-76.99,-12.18,1.0000000000000004e-06,9.87515408570229,84.74431439612246,127.618575573227,213.05993900012186
29.0,-76.98,-12.18,1.0000000000000004e-06,37.58708415697911,142.62747604974714,177.5638979538894,261.35537788817936
30.0,-77.03,-12.19,1.0000000000000004e-06,68.16011601045383,174.32076007392862,210.88827083155778,300.4198932773954
31.0,-77.02,-12.19,1.0000000000000004e-06,1.0000000000000004e-06,11.676874335420766,34.9534366778051,129.7027693975264
32.0,-77.01,-12.19,1.0000000000000004e-06,37.00121122409312,147.37023591182455,178.58365896880946,273.39706418103395
33.0,-77.0,-12.19,1.0000000000000004e-06,7.120757601909691,72.6118835315602,120.24827988805697,200.5810805678825
34.0,-76.99,-12.19,1.0000000000000004e-06,5.151622938014866,65.61679546420723,115.67005366518077,189.69088251572884
35.0,-76.98,-12.19,1.0000000000000004e-06,30.97533343083698,131.450332016256,168.1761646280889,249.3327729801141
36.0,-77.03,-12.2,1.0000000000000004e-06,14.029758058599299,103.75349294276462,138.89946113842194,212.54586254848888
37.0,-77.02,-12.2,1.0000000000000004e-06,113.1134309306418,200.68769405059498,240.5909178433695,326.01000276201245
38.0,-77.01,-12.2,1.0000000000000004e-06,124.82435620725978,212.05368513188452,251.24677612488628,336.99860276539664
39.0,-77.0,-12.2,1.0000000000000004e-06,35.862298001031455,139.19291953548455,172.71331666148495,259.43603377479485
40.0,-76.99,-12.2,1.0000000000000004e-06,17.026179657988774,112.83561004532343,149.63853154889065,230.1133027922814
41.0,-76.98,-12.2,1.0000000000000004e-06,15.689944847943089,106.86989735432466,144.78830640487564,240.3930975791905
42.0,-77.02,-12.21,1.0000000000000004e-06,102.06311515678642,188.33738677645937,224.3631506456981,308.3345730436253
43.0,-77.01,-12.21,1.0000000000000004e-06,116.57467854479954,203.6073437684422,242.3719505534271,325.7231596749037
44.0,-77.0,-12.21,1.0000000000000004e-06,114.09181539563204,200.09793877606438,239.1486925282774,324.1042699355544
45.0,-76.99,-12.21,1.0000000000000004e-06,35.128849815136,141.6228750003122,174.5171058631352,253.342381907542
46.0,-76.98,-12.21,1.0000000000000004e-06,11.716734930517458,97.32708276345875,140.05820975647342,219.5531991406411
47.0,-77.0,-12.22,1.0000000000000004e-06,103.90884102861254,191.7641310694462,232.42091188614572,316.4590492371819
48.0,-76.99,-12.22,1.0000000000000004e-06,114.15067084279396,201.3510921773798,241.23893845599352,329.0287585387136
49.0,-76.98,-12.22,1.0000000000000004e-06,84.95410391321789,180.38088282771636,219.77235990765683,309.689942684679
50.0,-76.99,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,5.539023462128349,20.542066681761806,101.91123639866325
51.0,-76.98,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,6.165471013094736,21.070325778748423,103.01289533998633
52.0,-76.97,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,5.401918164566671,18.773192719659995,95.71542396118176
53.0,-76.96,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,5.475462542250477,17.39890176689119,89.18508662924941
54.0,-76.95,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,6.203249443800379,22.227754673698897,103.55652200738385
55.0,-76.94,-11.99,1.0000000000000004e-06,86.15498670627673,183.7099036848818,222.47844977098282,314.93912495268734
56.0,-76.93,-11.99,1.0000000000000004e-06,21.156392596487564,114.35979336138037,152.41026814483834,235.49493243292787
57.0,-76.92,-11.99,1.0000000000000004e-06,24.056451884090688,121.30492188639198,159.8218372217046,238.63870946371392
58.0,-76.91,-11.99,1.0000000000000004e-06,17.58311685802387,109.3959092138353,145.86016309998334,227.9993514540693
59.0,-76.9,-11.99,1.0000000000000004e-06,18.453776121821786,111.66007627056938,148.36312968617065,221.12421518688572
60.0,-76.89,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,4.71251626736278,16.30888877138774,97.21790609599128
61.0,-76.88,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,4.4862671789464255,15.046236297789779,102.56927349882332
62.0,-76.87,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,4.296807445986606,16.3798465519517,101.60194786379297
63.0,-76.86,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,3.9377258682737644,14.549674612147724,104.49992676006133
64.0,-76.85,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,3.9120819702719554,15.328549281160115,94.9805789324942
65.0,-76.84,-11.99,1.0000000000000004e-06,16.698989150645957,110.42611525608598,145.76951567425547,232.22245408930897
66.0,-76.83,-11.99,1.0000000000000004e-06,2.717277213489987,49.81036295067193,101.17477396702064,174.92238376679765
67.0,-76.82,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,16.50523114063158,41.19373304014042,135.1306217047315
68.0,-76.81,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,4.0360297095311415,15.512379853885447,101.28672287456223
69.0,-76.8,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,3.356136008057337,13.53998985221464,92.04785111015494
70.0,-76.79,-11.99,1.0000000000000004e-06,1.0000000000000004e-06,2.937624254020354,11.45046817069045,68.94278849928772
71.0,-76.99,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,5.737936468311215,20.337015200980773,100.26568219782583
72.0,-76.98,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,5.648305824977462,22.677771225496787,109.35393316212503
73.0,-76.97,-12.0,1.0000000000000004e-06,15.452277994257889,109.44451020889184,144.78178331781382,230.1133027922814
74.0,-76.96,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,6.349815352883354,20.88266670215317,104.7042490170735
75.0,-76.95,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,24.703986267038022,49.96982957281375,140.60568437957915
76.0,-76.94,-12.0,1.0000000000000004e-06,2.9557088489838392,50.6482324471488,98.38490759769982,175.41048869550366
77.0,-76.93,-12.0,1.0000000000000004e-06,24.002459979595105,121.84800727274121,159.67023633660057,245.6312151101078
78.0,-76.92,-12.0,1.0000000000000004e-06,21.25324311198047,117.9690106830737,157.53788182533117,244.11000638530723
79.0,-76.91,-12.0,1.0000000000000004e-06,20.247462006167556,115.09002148041279,154.36404728249215,236.3963261530778
80.0,-76.9,-12.0,1.0000000000000004e-06,34.43220331935298,142.2403196071464,175.73558724974686,261.0652009773462
81.0,-76.89,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,13.312044087797064,36.88842886983218,115.82014103813627
82.0,-76.88,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,4.633799017309172,17.047222336578574,95.79036045060457
83.0,-76.87,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,26.01445347090345,50.55088341611657,134.6504460122438
84.0,-76.86,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,22.373627806769278,48.205318587059004,136.8521842681518
85.0,-76.85,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,4.624889336128184,17.492475095713353,94.47062395711747
86.0,-76.84,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,28.887171232548912,57.32264608790331,147.52063516084542
87.0,-76.83,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,14.265016068600952,38.26474346281286,126.89263009609479
88.0,-76.82,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,4.287423299772835,16.19628347887369,96.92452066424136
89.0,-76.81,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,3.1729367961178196,14.591888234254773,76.74285862794804
90.0,-76.8,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,3.06548462140527,13.144061270228255,73.76164290222248
91.0,-76.79,-12.0,1.0000000000000004e-06,1.0000000000000004e-06,3.214828960206519,12.858595542317527,60.661281437237015
92.0,-76.99,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,7.2954630485858365,23.117753012093235,114.37765106185897
93.0,-76.98,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,6.2517233082779695,20.793178270049317,111.02353236008126
94.0,-76.97,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,5.942055304776288,22.24508822144953,112.19364297958188
95.0,-76.96,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,5.971478397133468,21.312476856879318,106.63926035970421
96.0,-76.95,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,6.430344632052613,20.167652971960703,112.18884063604713
97.0,-76.94,-12.01,1.0000000000000004e-06,2.1475517868038434,46.67033641313184,91.27282651641592,174.2464484501869
98.0,-76.93,-12.01,1.0000000000000004e-06,3.0214457791545066,51.46066104639289,99.30090915641159,180.0451333421501
99.0,-76.92,-12.01,1.0000000000000004e-06,42.72980590794924,151.3975762081957,184.56614068151612,273.8189598617291
100.0,-76.91,-12.01,1.0000000000000004e-06,20.571616871208626,113.34727269364019,149.63100168415914,226.82649121156624
101.0,-76.9,-12.01,1.0000000000000004e-06,11.395286219421921,96.25149967402645,138.47868372350823,216.3163294028946
102.0,-76.89,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,14.37837291258336,39.09586039155981,134.16570975584372
103.0,-76.88,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,16.912504394953785,40.97776236199021,134.61583911971533
104.0,-76.87,-12.01,1.0000000000000004e-06,16.92301412647352,110.34734630162389,146.66666995506367,228.94739318267727
105.0,-76.86,-12.01,1.0000000000000004e-06,20.344026245539187,117.18902631046795,152.91514625713592,241.78509384378935
106.0,-76.85,-12.01,1.0000000000000004e-06,18.780813000024335,111.69398077884289,149.02850005297284,235.6086916460718
107.0,-76.84,-12.01,1.0000000000000004e-06,0.13627931477513544,33.32146616548791,67.36917139756497,165.89021258457805
108.0,-76.83,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,10.747370889207948,32.4225707688228,130.34678810413237
109.0,-76.82,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,3.5779004626944078,13.446222234529374,94.64142517103637
110.0,-76.81,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,3.7441985890298315,13.42519626334705,93.62092361461175
111.0,-76.8,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,3.2104171018846444,12.41496084623388,77.29622297879824
112.0,-76.79,-12.01,1.0000000000000004e-06,1.0000000000000004e-06,5.137345903103641,18.735549685514354,104.70230573414916
113.0,-76.99,-12.02,1.0000000000000004e-06,23.08077305329379,121.44409093908024,157.34539878284588,233.9738252645839
114.0,-76.98,-12.02,1.0000000000000004e-06,2.593369302699862,46.580828373117726,98.29127652581863,177.63886607656823
115.0,-76.97,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,20.396877642529194,44.762900915419294,129.91486991126007
116.0,-76.96,-12.02,1.0000000000000004e-06,35.82399405714344,143.182308010489,177.49171746022571,248.37331420443542
117.0,-76.95,-12.02,1.0000000000000004e-06,4.570232437834936,54.324017078851455,104.73922662628281,184.09156155117174
118.0,-76.94,-12.02,1.0000000000000004e-06,36.74450679775225,144.9626274984674,181.61631505698438,269.8437961799976
119.0,-76.93,-12.02,1.0000000000000004e-06,26.29329734346288,125.82560674261093,164.0433728993143,247.1041179976432
120.0,-76.92,-12.02,1.0000000000000004e-06,13.096780945256413,101.63085787509324,136.78610950483952,226.31616520223253
121.0,-76.91,-12.02,1.0000000000000004e-06,16.558798108584117,109.80371000498945,147.98555785596471,228.20948233167113
122.0,-76.9,-12.02,1.0000000000000004e-06,24.92434488793003,120.11743584140567,157.49984977189408,244.1073549129908
123.0,-76.89,-12.02,1.0000000000000004e-06,33.0961402493041,138.3584785321734,173.5576956077481,251.32915421351555
124.0,-76.88,-12.02,1.0000000000000004e-06,22.79841217924806,120.86221336357156,159.547006131043,240.41244699613083
125.0,-76.87,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,5.295162188293284,19.710640520647985,101.45503900249906
126.0,-76.86,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,5.337825440818014,20.191241968192514,107.31724406937919
127.0,-76.85,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,14.586342362501565,38.609308272616474,127.73221327682855
128.0,-76.84,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,20.25461199994199,46.05624826363165,127.76765504344968
129.0,-76.83,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,3.62482869802215,14.048438653952228,90.28488863610634
130.0,-76.82,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,26.816880801237545,56.87218521712985,150.3878312614088
131.0,-76.81,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,4.022572601550337,14.1089227528667,89.1178023070013
132.0,-76.8,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,3.479563062693465,13.450619818939552,80.33391971001237
133.0,-76.79,-12.02,1.0000000000000004e-06,1.0000000000000004e-06,3.0178979237841106,13.25950449863342,71.18748319530076
134.0,-76.99,-12.03,1.0000000000000004e-06,24.065790114690028,119.55796897474922,158.85934469030894,239.57667031429233
135.0,-76.98,-12.03,1.0000000000000004e-06,33.11059167383823,135.7720933789642,171.80377438885355,254.83309885295313
136.0,-76.97,-12.03,1.0000000000000004e-06,36.75500515732236,145.72552997694353,177.84665130393216,263.803940123973
137.0,-76.96,-12.03,1.0000000000000004e-06,27.242433055816903,127.48426648802011,164.21533416326534,250.38258581480204
138.0,-76.95,-12.03,1.0000000000000004e-06,18.161815185280552,112.3531286444242,147.94712238613297,233.47096545104122
139.0,-76.94,-12.03,1.0000000000000004e-06,36.697789561653096,141.36337666577032,177.06457580514063,265.8198402042962
140.0,-76.93,-12.03,1.0000000000000004e-06,27.98711884374951,126.37681115521075,164.25060194406632,251.25595452882138
141.0,-76.92,-12.03,1.0000000000000004e-06,2.844890701511574,49.09394308810427,95.98466781176232,174.49287699942556
142.0,-76.91,-12.03,1.0000000000000004e-06,17.72904504492649,111.74814303551136,149.38539073791222,231.34572743762848
143.0,-76.9,-12.03,1.0000000000000004e-06,0.12136867815203461,32.77780276989686,64.15222800744137,150.3029212022656
144.0,-76.89,-12.03,1.0000000000000004e-06,0.6911090284465051,35.41034727056766,70.58031998911962,154.90451043820065
145.0,-76.88,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,18.151541787849364,46.48701269449586,135.68694210283445
146.0,-76.87,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,4.508623811851411,15.244900379352025,103.51381551057563
147.0,-76.86,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,4.258260323222787,15.841317209793415,106.44976834026343
148.0,-76.85,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,4.336573847594252,17.15966938650413,98.83672327858612
149.0,-76.84,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,4.240517825853316,16.06183056478233,101.22213400766955
150.0,-76.83,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,3.7575930240217343,12.89940557246754,91.07717180815754
151.0,-76.82,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,4.392093320868975,17.00611533208276,98.02018279076717
152.0,-76.81,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,3.2827374248435666,12.015859741154928,96.48049152302052
153.0,-76.8,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,6.346323405547715,24.48430744393707,118.383947867039
154.0,-76.79,-12.03,1.0000000000000004e-06,1.0000000000000004e-06,2.9334692683237593,11.09028890445712,71.92160413024602
155.0,-76.99,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,7.981506447671606,23.22734450741143,102.77031278662274
156.0,-76.98,-12.04,1.0000000000000004e-06,32.15732189427342,137.96953115625723,173.27001399276065,255.06031822791135
157.0,-76.97,-12.04,1.0000000000000004e-06,36.46881047238634,144.63185984863796,176.03534631685037,250.32395443806658
158.0,-76.96,-12.04,1.0000000000000004e-06,33.0995697160728,140.45736601672596,174.4293723427769,249.10995225844277
159.0,-76.95,-12.04,1.0000000000000004e-06,20.85925601234694,116.65594673851236,156.6415179582763,236.8792859092655
160.0,-76.94,-12.04,1.0000000000000004e-06,32.84731993947712,136.47346084799088,172.05290851587586,248.73595408346588
161.0,-76.93,-12.04,1.0000000000000004e-06,10.132147544730419,88.76682943997214,132.89563143662014,213.05930791853186
162.0,-76.92,-12.04,1.0000000000000004e-06,2.6561779349624968,47.14568100298617,95.73662484601607,177.19629568370527
163.0,-76.91,-12.04,1.0000000000000004e-06,0.17302877645852094,36.42991166389413,67.20755985604448,165.20243863894285
164.0,-76.9,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,18.434722480671915,45.20668771324827,125.50913995438367
165.0,-76.89,-12.04,1.0000000000000004e-06,1.0688874081979014,37.93831553898641,73.92008489419504,155.28431659332762
166.0,-76.88,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,25.075488418458864,46.48946138780091,136.80692895959777
167.0,-76.87,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,5.093028289252124,17.845658701167615,90.81121983449908
168.0,-76.86,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,4.279614892342168,17.438588109331164,90.07591865293152
169.0,-76.85,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,5.031436159431233,17.25531742200344,90.74957472269723
170.0,-76.84,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,4.8615339697371525,16.577140805299084,92.841018774771
171.0,-76.83,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,4.0493729308400725,14.228649989489742,78.49901838040364
172.0,-76.82,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,3.405882547702345,12.941123564704432,91.65843243871629
173.0,-76.81,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,4.126132255670185,14.439277344666925,87.74317657484191
174.0,-76.8,-12.04,1.0000000000000004e-06,1.0000000000000004e-06,3.582005686228977,13.241967987047387,66.99737711215955
