site_id,lon,lat,PGA_POE_1.0_yr,PGA_POE_10.0_yr,PGA_POE_50.0_yr,PGA_POE_100.0_yr,PGA_POE_500.0_yr
1924.0,-77.07,-11.98,1.0000000000000004e-06,0.10993137535844329,0.3507710908387605,0.5280438136108,1.5651246779457746
1925.0,-77.12,-11.99,1.0000000000000004e-06,0.11749883520637036,0.37881204040434513,0.6006948730143122,1.5630030416424145
1926.0,-77.11,-11.99,1.0000000000000004e-06,0.11665837345001702,0.3822857542115282,0.5978982363830668,1.6944209288336447
1927.0,-77.1,-11.99,1.0000000000000004e-06,0.11533747374322294,0.3590153313870777,0.5509694003535773,1.5441057695476998
1928.0,-77.09,-11.99,1.0000000000000004e-06,0.10954165979931964,0.3487622226831253,0.5332410921719715,1.4620299605659506
1929.0,-77.08,-11.99,1.0000000000000004e-06,0.10724285637597807,0.3309795287352689,0.527254429481059,1.5680222150842418
1930.0,-77.07,-11.99,1.0000000000000004e-06,0.09897255534469579,0.3167957958065452,0.4996539839817595,1.5217559392446993
1931.0,-77.12,-12.0,1.0000000000000004e-06,0.11426901637451249,0.363612276197462,0.5699478129009381,1.5136793256552366
1932.0,-77.11,-12.0,1.0000000000000004e-06,0.11497766188707464,0.370647450305741,0.5875481313824165,1.533160538516663
1933.0,-77.1,-12.0,1.0000000000000004e-06,0.11700583423609785,0.38501479848847975,0.6245511758565476,1.5491242555061964
1934.0,-77.09,-12.0,1.0000000000000004e-06,0.11420907418682122,0.35541339287281937,0.5570135708518793,1.8142472740999973
1935.0,-77.08,-12.0,1.0000000000000004e-06,0.09866460598897242,0.3107234639472997,0.49961119916706787,1.4609080209315457
1936.0,-77.07,-12.0,1.0000000000000004e-06,0.10159815386936157,0.32286714182649884,0.5081032717833472,1.3841164046174848
1937.0,-77.12,-12.01,1.0000000000000004e-06,0.12227511053553859,0.37670379589794245,0.5981434652049775,1.563509800469981
1938.0,-77.11,-12.01,1.0000000000000004e-06,0.11705703710827166,0.3802303694542064,0.588541144115435,1.424567743834849
1939.0,-77.1,-12.01,1.0000000000000004e-06,0.11544518752449122,0.37664423694113314,0.6167943457791315,1.6622674986110235
1940.0,-77.09,-12.01,1.0000000000000004e-06,0.1153134520205872,0.35804331563377195,0.5667071800320214,1.4442970550465928
