site_id,lon,lat,PGV_POE_1.0_yr,PGV_POE_10.0_yr,PGV_POE_50.0_yr,PGV_POE_100.0_yr,PGV_POE_500.0_yr
0,-77.09,-12.04,1.0000000000000004e-06,2.3102981666676166,9.447148169286539,14.761910431409303,34.75757544311794
1,-77.05,-12.11,0.01116711401292671,1.978531093949273,8.456543996472591,13.298558506212386,28.46559265841055
2,-77.04,-12.11,1.0000000000000004e-06,1.8506824376666342,7.993711418683489,12.407756532677267,28.417273071680132
3,-77.03,-12.11,0.014666533283990077,2.2548673384692837,9.543056044770328,14.759412140337917,32.74776610371324
4,-77.02,-12.11,0.011997629111194149,2.2404285286621426,9.280992575804376,14.202859445995362,30.62392421619098
5,-77.01,-12.11,1.0000000000000004e-06,2.2021805492692414,9.93002406972085,15.36964278296526,31.123793984912737
6,-77.04,-12.12,1.0000000000000004e-06,1.907492440136844,8.658926689854425,13.208405930506228,26.694132136322125
7,-77.03,-12.12,0.011095176777963298,2.2989676035160813,9.807027108983444,14.659281755274503,30.46119789018568
8,-77.02,-12.12,0.011398587978173958,2.2115466164314803,9.551417534637796,14.191695381985644,31.171922356224506
9,-77.01,-12.12,0.011569411060499739,2.243453435723962,9.660542634746319,14.635267595482933,33.4124590686933
10,-77.03,-12.13,0.00898946119242125,1.8698960264761608,7.866185038150618,12.21010712755904,26.11713123194286
11,-77.02,-12.13,1.0000000000000004e-06,2.2376779252591725,9.412053887636361,14.10836213238852,31.787806479519823
12,-77.01,-12.13,1.0000000000000004e-06,2.2714843170719523,9.839549851729975,15.056039503294675,33.5171534074538
13,-77.02,-12.16,0.012263727407443664,2.153831845489844,9.49160114865153,14.402807453602966,33.14486096412241
14,-77.01,-12.16,0.00865313198053995,2.386721657417263,10.064234766179627,15.981729000204218,33.91897886759972
15,-77.0,-12.16,1.0000000000000004e-06,2.356069603688357,10.088865971675824,16.033543840208992,33.485063652876114
16,-76.99,-12.16,1.0000000000000004e-06,2.2532531044582718,9.726859357277096,14.686572359103366,34.004633997880596
17,-76.98,-12.16,0.009318720957906286,2.1146638387165604,9.183779466024005,13.958721546954688,30.03654350311454
18,-77.03,-12.17,1.0000000000000004e-06,1.9110957071523804,8.255109489139173,12.447706373680022,26.76813005369324
19,-77.02,-12.17,0.010838155465729062,2.2801024570618287,9.648406752605876,14.360895984129058,33.93437997579624
20,-77.01,-12.17,0.009570264787670636,2.412902537828065,10.71051507848402,16.57834199594669,33.028935789975456
21,-77.0,-12.17,0.01017352852963308,2.3781283710182586,10.026733303574348,15.349197059856092,35.212546017383644
22,-76.99,-12.17,0.010964033773601261,2.206389750339449,9.652759904471154,14.40880850044362,31.35097618474237
23,-76.98,-12.17,1.0000000000000004e-06,2.188854293466526,9.081978957181425,13.871363809918256,30.01130924482456
24,-77.03,-12.18,1.0000000000000004e-06,1.8530220281984173,8.189635129282802,12.222778482133744,26.199845811490608
25,-77.02,-12.18,0.013362474739246873,2.5251796231272627,10.749787082064062,15.969586483877716,35.66204476497207
26,-77.01,-12.18,1.0000000000000004e-06,2.472937289178461,10.3238032996273,15.73714028877484,32.78586003713743
27,-77.0,-12.18,0.013719537682376428,2.2513546641197704,9.6717046042202,14.097381272125569,32.999589798376455
28,-76.99,-12.18,1.0000000000000004e-06,2.016513617364246,8.560779531594974,13.185094466808893,30.384382681375634
29,-76.98,-12.18,0.013788445466042498,2.3064969957281867,10.017480316602985,14.821410672479896,29.648730797587202
30,-77.03,-12.19,1.0000000000000004e-06,2.448123023563323,10.458538653953351,15.512021738396715,37.11480047305685
31,-77.02,-12.19,1.0000000000000004e-06,1.6955636775780734,7.186281800080118,11.097764596948116,24.85683464003296
32,-77.01,-12.19,0.011294405209200909,2.2048294737864733,9.54093208826907,14.118386867308768,33.273443215856666
33,-77.0,-12.19,1.0000000000000004e-06,1.9381751297213379,8.681081568768425,13.25371099789337,28.174042334322575
34,-76.99,-12.19,1.0000000000000004e-06,1.9475255074653413,8.20217872510664,12.580320428920293,31.42026522520117
35,-76.98,-12.19,0.009502643101647773,2.1781760638781695,9.467891561244388,14.543068499427692,30.804810204030392
36,-77.03,-12.2,0.009390955780377535,2.017448871212931,8.885660143394212,13.834983793672084,27.93069335134171
37,-77.02,-12.2,1.0000000000000004e-06,2.624100655818445,11.185805252549788,17.38442199334041,35.42779589329433
38,-77.01,-12.2,0.01033550001472176,2.6917975136588552,11.344452697275361,17.350924330686635,37.034423768915225
39,-77.0,-12.2,1.0000000000000004e-06,2.223434354367345,9.312314686275695,14.311453982226004,30.2706675327921
40,-76.99,-12.2,1.0000000000000004e-06,2.091165892899428,8.916640945009561,13.735413919203152,28.626124171461157
41,-76.98,-12.2,0.00896379754507898,2.1008041893074565,8.777956456661105,13.778697760090365,30.23470101002328
42,-77.02,-12.21,1.0000000000000004e-06,2.4857725118044676,10.932327402418021,16.454787023974763,38.05193388976933
43,-77.01,-12.21,1.0000000000000004e-06,2.6359591323713136,10.88778193193772,17.20176307343498,36.730131794363984
44,-77.0,-12.21,0.01016736853308454,2.6217789457046816,11.421855876042741,17.654852414917258,38.14200168469629
45,-76.99,-12.21,0.010479929236713075,2.238549667532231,9.712169630699314,14.751820173301356,32.472226653194845
46,-76.98,-12.21,0.010943239966943914,2.0609820632686575,8.501340262738742,13.204962730271818,28.53855998377613
