site_id,lon,lat,PGA_POE_1.0_yr,PGA_POE_10.0_yr,PGA_POE_50.0_yr,PGA_POE_100.0_yr,PGA_POE_500.0_yr
0,-77.09,-12.04,1.0000000000000004e-06,0.036063138183448404,0.1721115915973541,0.280056411216852,0.6593817752510552
1,-77.05,-12.11,1.0000000000000004e-06,0.03250060426877974,0.15480059071654753,0.2619601634918435,0.6753160635315845
2,-77.04,-12.11,1.0000000000000004e-06,0.03178583839263403,0.1556256340909195,0.247716616736355,0.595903648377739
3,-77.03,-12.11,1.0000000000000004e-06,0.03500970899149486,0.17200977617419705,0.27795344337236544,0.6286302291287296
4,-77.02,-12.11,1.0000000000000004e-06,0.0364844463932955,0.17281076184031932,0.27682511286543177,0.6607319835838164
5,-77.01,-12.11,1.0000000000000004e-06,0.03570903109837144,0.16649866044060252,0.2581653444558017,0.6458135593044786
6,-77.04,-12.12,1.0000000000000004e-06,0.032307955880480875,0.15900379135805764,0.2656004629392188,0.6484095833783561
7,-77.03,-12.12,1.0000000000000004e-06,0.03567646126961896,0.17590773376494623,0.28260343648400815,0.7209059694956806
8,-77.02,-12.12,1.0000000000000004e-06,0.03545959807017747,0.1711486560856179,0.2840416196105566,0.7252862686658382
9,-77.01,-12.12,1.0000000000000004e-06,0.036244701648351633,0.17776183120198988,0.2882492164013271,0.7988193786211615
10,-77.03,-12.13,1.0000000000000004e-06,0.030814673295223978,0.1508981863865259,0.2427667902225961,0.6380430869298435
11,-77.02,-12.13,1.0000000000000004e-06,0.036256729586479665,0.16843955798734928,0.28515784250574633,0.67641004523572
12,-77.01,-12.13,1.0000000000000004e-06,0.03618895227137016,0.16204065683768676,0.27073987615229533,0.7045272726877811
13,-77.02,-12.16,1.0000000000000004e-06,0.03531591683473264,0.16617111850214855,0.27141954204396623,0.6136187968855965
14,-77.01,-12.16,1.0000000000000004e-06,0.03698692375999995,0.1778713990636616,0.2883908376371036,0.7677253291443638
15,-77.0,-12.16,1.0000000000000004e-06,0.03725336672784879,0.1770148423824882,0.2877768247514611,0.6951901659125769
16,-76.99,-12.16,1.0000000000000004e-06,0.036862973703471615,0.1633831155959946,0.2677347998196472,0.6978620416360726
17,-76.98,-12.16,1.0000000000000004e-06,0.035044347242888615,0.16156895320906262,0.2707373526711043,0.597979094453589
18,-77.03,-12.17,1.0000000000000004e-06,0.03192993077019733,0.16133715690244166,0.250304607630343,0.5768554586829336
19,-77.02,-12.17,1.0000000000000004e-06,0.034999197446769284,0.17102570872327125,0.27054316099635756,0.6733815980216107
