site_id,event_id,gmv_PGA,gmv_PGV,gmv_PGD,mag,vs30
0,0,0.0068475015895575,0.3449047994270361,0.0,6.3,555.35254
...
2349,2121,0.0,0.0,0.0,6.15,760.0
